Tray,Row#,Sample,Weight(mg),SampleType,PlantType
1,f1,46,3.543,Sample,Fixer
1,f2,112a,3.334,Sample,Fixer
1,f3,112b,3.213,Duplicate,Fixer
1,f4,199,3.423,Sample,Fixer
1,f5,26,3.308,Sample,Fixer
1,f6,271,3.408,Sample,Fixer
1,f7,108,3.48,Sample,Fixer
1,f8,47,3.314,Sample,Fixer
1,f9,271,3.43,Sample,Fixer
1,f10,60,3.259,Sample,Fixer
1,f11,194,3.54,Sample,Fixer
1,f12,49,3.384,Sample,Fixer
1,g1,172,3.447,Sample,Fixer
1,g2,122,3.387,Sample,Fixer
1,g3,72,3.659,Sample,Fixer
1,g4,50a,3.644,Sample,Fixer
1,g5,50b,3.265,Duplicate,Fixer
1,g6,68,3.794,Sample,Fixer
1,g7,2,3.568,Sample,Fixer
1,g8,61,3.628,Sample,Fixer
1,g9,162,3.649,Sample,Fixer
1,g10,39,3.716,Sample,Fixer
1,g11,96,3.546,Sample,Fixer
1,g12,57,3.588,Sample,Fixer
1,h1,270,3.486,Sample,Fixer
1,h2,other,3.479,Sample,Nonfixer-Forb
1,h3,blank1,17.384,Blank,NA
1,h4,blank2,17.836,Blank,NA
1,h5,blank3,17.655,Blank,NA
1,h6,blank4,17.437,Blank,NA
1,h7,blank5,18.352,Blank,NA
1,h8,blank6,17.488,Blank,NA
1,h9,blank7,17.544,Blank,NA
1,h10,blank8,18.06,Blank,NA
1,h11,blank9,17.632,Blank,NA
1,h12,blank10,17.454,Blank,NA
2,a1,standard1,1.525,Standard,NA
2,a2,standard2,1.232,Standard,NA
2,a3,standard3,1.872,Standard,NA
2,a4,standard4,1.245,Standard,NA
2,a5,standard5,1.237,Standard,NA
2,a6,standard6,1.243,Standard,NA
2,a7,standard7,1.389,Standard,NA
2,a8,standard8,1.618,Standard,NA
2,a9,standard9,1.875,Standard,NA
2,a10,standard10,1.415,Standard,NA
2,a11,standard11,1.182,Standard,NA
2,a12,standard12,1.847,Standard,NA
2,b1,standard13,1.978,Standard,NA
2,b2,standard14,1.245,Standard,NA
2,b3,standard15,1.533,Standard,NA
2,b4,standard16,1.211,Standard,NA
2,b5,standard17,1.477,Standard,NA
2,b6,standard18,1.856,Standard,NA
2,b7,standard19,1.386,Standard,NA
2,b8,standard20,1.284,Standard,NA
2,b9,standard21,1.731,Standard,NA
2,b10,standard22,1.334,Standard,NA
2,b11,standard23,1.387,Standard,NA
2,b12,standard24,1.449,Standard,NA
2,c1,standard25,1.977,Standard,NA
2,c2,standard26,1.03,Standard,NA
2,c3,standard27,1.685,Standard,NA
2,c4,standard28,1.449,Standard,NA
2,c5,standard29,1.101,Standard,NA
2,c6,standard30,1.21,Standard,NA
2,c7,standard31,1.889,Standard,NA
2,c8,standard32,2.009,Standard,NA
2,c9,standard33,1.854,Standard,NA
2,c10,standard34,1.42,Standard,NA
2,c11,standard35,1.294,Standard,NA
2,c12,standard36,1.748,Standard,NA
2,d1,standard37,1.726,Standard,NA
2,d2,standard38,1.604,Standard,NA
2,d3,standard39,1.543,Standard,NA
2,d4,standard40,1.413,Standard,NA
2,d5,standard41,1.883,Standard,NA
2,d6,standard42,1.876,Standard,NA
2,d7,standard43,1.511,Standard,NA
2,d8,standard44,1.304,Standard,NA
2,d9,standard45,1.182,Standard,NA
