rns,treament,status,DateFlowering,DateFruiting,width,height,length,vol,#Fl_Stems_atCollectionTime,#Fl_stemsEndOfYear,#LeavesCollection,#LeavesEndofYear,lvs_with_herbivory,lvs_with_fungus,blackdotFungusPresence
108,untreated_neg,good,,,24,16,20,,,,38,,1,7,
109,untreated_plus,good,,,12,12,7,,,,10,,,,
110,untreated_neg,good,,,15,10,15,,,,7,,4,,
111,treated_controlneg,good,,,10,12,9,,,,4,,1,,
112,untreated_plus,good,,,21,17,15,,,,31,,,3,
113,untreated_neg,good,,,16,16,15,,,,28,,,1,
114,treated_controlplus,good,,,16,9,13,,,,7,,5,,
115,treated_neg,good,,,13,15,12,,,,9,,2,2,
116,treated_neg,good,,,14,9,13,,,,9,,,2,
117,treated_neg,good,,,15,14,11,,,,13,,2,3,
118,treated_plus,good,,,11,10,10,,,,4,,,1,
119,treated_plus,good,,,13,12,10,,,,6,,1,1,
120,untreated_plus,good,,,8,5,6,,,,2,,2,,
121,treated_controlplus,good,,,9,10,8,,,,2,,,,
122,treated_plus,good,,,12,11,11,,,,7,,,,
123,untreated_neg,good,,,52,23,44,,,,204,,16,,
124,treated_plus,good,,,18,11,14,,,,16,,,3,
125,controlNeg,dead,,,,,,,,,,,,,
126,treated_plus,good,,,20,13,14,,,,15,,,5,
127,untreated_neg,good,,,54,27,47,,,,140,,,22,yes
128,treated_controlneg,weak,,,13,7,8,,,,5,,,,
129,treated_plus,good,,,15,13,13,,,,5,,2,,
130,untreated_plus,dontuse,,,8,6,6,,,,2,,,,
131,untreated_neg,good,,,14,12,14,,,,7,,2,3,
132,untreated_neg,dontuse,,,8,6,5,,,,0,,,,
133,treated_neg,good,,,26,11,17,,,,35,,,,
134,treated_plus,good,,,15,9,14,,,,9,,,3,
135,controlplus,dead,,,,,,,,,,,,,
136,untreated_plus,good,,,15,13,12,,,,12,,1,3,
137,controlplus,dead,,,,,,,,,,,,,
138,treated_controlplus,dead,,,,,,,,,,,,,
139,untreated_plus,good,,,47,16,40,,4,,140,,17,16,
140,untreated_neg,good,,,51,24,49,,,,103,,12,,
141,treated_controlplus,dead,,,,,,,,,,,,,
142,treated_controlplus,weak,,,10,10,8,,,,4,,,,
143,untreated_plus,dead,,,,,,,,,,,,,
144,treated_plus,good,,,19,13,16,,,,28,,2,,
145,treated_controlplus,weak,,,9,8,9,,,,4,,,,
146,treated_neg,good,,,37,13,36,,1,,64,,1,3,
147,treated_plus,good,,,16,11,13,,,,17,,,4,
148,untreated_plus,good,,,15,13,13,,,,17,,1,,
