sampleName,plate,well,ng_per_ul,aliquot,bufferVol,well,finalConc
152,2,b3,102.3,2.19941349,22.80058651,b3,9
153,2,c3,244,0.922131148,24.07786885,c3,9
155,2,d3,123,1.829268293,23.17073171,d3,9
156,2,e3,139.1,1.617541337,23.38245866,e3,9
157,2,f3,102.4,2.197265625,22.80273438,f3,9
159,2,g3,57.1,3.940455342,21.05954466,g3,9
160,2,h3,77.5,2.903225806,22.09677419,h3,9
161,2,a4,78.6,2.86259542,22.13740458,a4,9
162,2,b4,182,1.236263736,23.76373626,b4,9
163,2,c4,223.6,1.006261181,23.99373882,c4,9
164,2,d4,106.8,2.106741573,22.89325843,d4,9
167,2,e4,92,2.445652174,22.55434783,e4,9
168,2,f4,64,3.515625,21.484375,f4,9
170,2,g4,87.3,2.577319588,22.42268041,g4,9
171,2,h4,101.3,2.22112537,22.77887463,h4,9
172,2,a5,112.6,1.998223801,23.0017762,a5,9
173,2,b5,116.8,1.926369863,23.07363014,b5,9
175,2,c5,60.8,3.700657895,21.29934211,c5,9
176,2,d5,93.5,2.406417112,22.59358289,d5,9
177,2,e5,208.5,1.079136691,23.92086331,e5,9
178,2,f5,93,2.419354839,22.58064516,f5,9
182,2,g5,71,3.169014085,21.83098592,g5,9
183,2,h5,90,2.5,22.5,h5,9
184,2,a6,44.5,5.056179775,19.94382022,a6,9
185,2,b6,328.1,0.685766535,24.31423347,b6,9
186a,2,c6,230.9,0.974447813,24.02555219,c6,9
186b,2,d6,230.9,0.974447813,24.02555219,d6,9
189,2,e6,74.8,3.00802139,21.99197861,e6,9
191,2,f6,105.7,2.128666036,22.87133396,f6,9
192a,2,g6,59.4,3.787878788,21.21212121,g6,9
192b,2,h6,59.4,3.787878788,21.21212121,h6,9
194,2,a7,124.8,1.802884615,23.19711538,a7,9
195,2,b7,105.9,2.124645892,22.87535411,b7,9
196,2,c7,97.5,2.307692308,22.69230769,c7,9
197,2,d7,103.3,2.178121975,22.82187803,d7,9
199,2,e7,78.8,2.855329949,22.14467005,e7,9
200,2,f7,56.8,3.961267606,21.03873239,f7,9
201,2,g7,237.6,0.946969697,24.0530303,g7,9
203,2,h7,62.1,3.623188406,21.37681159,h7,9
204,2,a8,98.5,2.284263959,22.71573604,a8,9
209,2,b8,103.3,2.178121975,22.82187803,b8,9
206,2,c8,133.3,1.68792198,23.31207802,c8,9
212,2,d8,129.5,1.737451737,23.26254826,d8,9
213,2,e8,92.6,2.429805616,22.57019438,e8,9
216,2,f8,91.7,2.453653217,22.54634678,f8,9
219,2,g8,97.7,2.30296827,22.69703173,g8,9
220,2,h8,91,2.472527473,22.52747253,h8,9
222,2,a9,45.2,4.977876106,20.02212389,a9,9
224,2,b9,59.6,3.775167785,21.22483221,b9,9
227,2,c9,135.9,1.655629139,23.34437086,c9,9
231,2,d9,121.2,1.856435644,23.14356436,d9,9
235,2,e9,122,1.844262295,23.1557377,e9,9
